gene_0	gene_1	sources	unbiased
1	310	1	0
1	1026	1	0
1	2886	1	0
1	3958	1	0
1	6606	1	0
1	6607	1	0
1	6622	1	0
1	7083	1	0
1	10321	2	0
1	10549	1	0
1	80854	1	0
2	60	1	0
2	259	2	0
2	309	2	0
2	310	1	0
2	348	3	0
2	351	3	0
2	354	2	0
2	476	1	0
2	567	2	0
2	998	3	0
2	1026	1	0
2	1080	1	0
2	1361	2	0
2	1508	2	0
2	1510	2	0
2	1558	2	0
2	1562	2	0
2	1990	2	0
2	1995	2	0
2	2026	1	0
2	2193	2	0
2	2639	2	0
2	2669	3	0
2	2885	3	0
2	3014	1	0
2	3163	1	0
2	3309	2	0
2	3337	1	0
2	3437	2	0
2	3553	2	0
2	3565	2	0
2	3586	2	0
2	3817	1	0
2	3931	2	0
2	3952	2	0
2	4035	2	0
2	4069	1	0
2	4313	2	0
2	4653	2	0
2	4803	2	0
2	4846	2	0
2	5047	2	0
2	5154	2	0
2	5155	2	0
2	5864	1	0
2	5886	2	0
2	5908	1	0
2	6009	2	0
2	6462	2	0
2	6468	1	0
2	6606	1	0
2	6607	1	0
2	7001	2	0
2	7045	2	0
2	7050	1	0
2	7052	1	0
2	7083	1	0
2	7276	1	0
2	7301	1	0
2	7353	1	0
2	7372	2	0
2	8728	2	0
2	8764	1	0
2	8848	1	0
2	9361	2	0
2	9510	2	0
2	10053	1	0
2	10263	1	0
2	10376	1	0
2	10724	1	0
2	10944	3	0
2	11051	1	0
2	11102	1	0
2	11140	1	0
2	22976	2	0
2	22983	2	0
2	23154	2	0
2	23176	1	0
2	24138	2	0
2	26085	2	0
2	51013	2	0
2	51024	1	0
2	51295	2	0
2	54850	1	0
2	55729	2	0
2	56729	1	0
2	57559	1	0
2	64223	1	0
2	84106	2	0
2	93185	1	0
2	112398	1	0
2	115704	1	0
2	124912	1	0
2	126003	2	0
2	126074	1	0
2	140545	2	0
9	6640	1	0
9	7316	1	0
9	8260	2	0
10	351	1	0
10	8260	2	0
12	12	1	0
12	125	1	0
12	351	2	0
12	354	2	0
12	1215	2	0
12	1504	2	0
12	1506	2	0
12	1511	2	0
12	1990	2	0
12	1991	2	0
12	2064	1	0
12	2153	2	0
12	3211	2	0
12	3817	2	0
12	4001	1	0
12	4035	1	0
12	4312	2	0
12	4485	2	0
12	4790	1	0
12	5422	2	0
12	6444	1	0
12	9507	2	0
12	9622	1	0
12	10057	1	0
12	10319	1	0
12	11330	2	0
12	30834	1	0
12	64215	4	0
14	5664	1	0
14	6293	2	1
14	7083	1	0
14	7316	1	0
14	8553	2	1
14	10537	1	0
14	11345	1	0
14	22976	1	0
14	51497	3	0
14	55216	2	1
14	64127	1	0
14	64782	2	1
14	65265	1	0
14	81631	1	0
15	2147	1	0
15	4188	2	1
15	5566	2	0
15	7534	3	0
15	8553	2	1
16	1017	1	0
16	1933	2	0
16	2099	1	0
16	2113	2	0
16	3326	1	0
16	3676	1	0
16	7316	1	0
16	7412	1	0
16	7534	2	0
16	51547	1	0
18	18	1	0
18	1398	3	0
18	2099	1	0
18	7915	2	0
19	316	2	0
19	335	2	0
19	998	1	0
19	1387	2	0
19	1457	2	0
19	1459	1	0
19	1740	3	0
19	1741	3	0
19	1838	1	0
19	1958	1	0
19	3984	1	0
19	4008	2	0
19	5174	2	0
19	5360	2	0
19	5566	2	0
19	6390	2	0
19	6640	3	0
19	6641	4	0
19	6645	4	0
19	7052	1	0
19	7074	2	0
19	7316	1	0
19	7359	1	0
19	7360	1	0
19	7402	1	0
19	7508	3	0
19	8517	1	0
19	8572	2	0
19	8772	3	0
19	8777	3	0
19	8825	2	0
19	9231	2	0
19	9318	1	0
19	9699	2	0
19	9826	3	0
19	10558	1	0
19	10594	2	0
19	10987	1	0
19	23365	3	0
19	23673	1	0
19	25814	1	0
19	27295	2	0
19	50944	2	0
19	51678	2	0
19	51735	2	0
19	55327	2	0
19	55914	1	0
19	57120	2	0
19	64130	3	0
19	84708	1	0
19	284723	1	0
20	55755	3	0
21	7316	1	0
22	351	1	0
22	2235	2	0
22	3396	1	0
22	4609	1	0
22	7316	1	0
23	351	1	0
23	2099	1	0
23	2869	1	0
23	3068	1	0
23	3692	3	0
23	5564	2	0
23	6613	1	0
23	6732	1	0
23	7316	1	0
23	8453	1	0
23	10987	1	0
23	23421	3	0
23	51547	1	0
23	54984	1	0
23	55646	1	0
23	64210	1	0
23	65125	1	0
23	285527	1	0
24	1258	2	0
25	25	1	0
25	27	2	0
25	29	3	0
25	58	2	0
25	197	2	0
25	274	2	0
25	322	2	0
25	326	3	0
25	351	2	0
25	472	2	0
25	545	1	0
25	598	1	0
25	610	3	0
25	613	2	0
25	656	3	0
25	672	4	0
