Entrez Gene IDA	Symbol A	Entrez Gene IDB	Symbol B
60	ACTB	60	ACTB
71	ACTG1	60	ACTB
71	ACTG1	71	ACTG1
95	ACY1	95	ACY1
216	ALDH1A1	216	ALDH1A1
327	APEH	327	APEH
331	BIRC4	331	BIRC4
373	TRIM23	373	TRIM23
392	ARHGAP1	387	RHOA
392	ARHGAP1	389	RHOC
443	ASPA	443	ASPA
445	ASS	445	ASS
598	BCL2L1	578	BAK1
635	BHMT	635	BHMT
638	BIK	598	BCL2L1
642	BLMH	642	BLMH
664	BNIP3	664	BNIP3
665	BNIP3L	664	BNIP3
665	BNIP3L	665	BNIP3L
842	CASP9	331	BIRC4
875	CBS	875	CBS
1019	CDK4	896	CCND3
1026	CDKN1A	894	CCND2
1026	CDKN1A	896	CCND3
1027	CDKN1B	894	CCND2
1027	CDKN1B	896	CCND3
1030	CDKN2B	1019	CDK4
1032	CDKN2D	1019	CDK4
1072	CFL1	60	ACTB
1072	CFL1	71	ACTG1
1073	CFL2	60	ACTB
1073	CFL2	71	ACTG1
1102	CHC1L	1102	CHC1L
1173	AP2M1	163	AP2B1
1198	CLK3	1196	CLK2
1398	CRK	699	BUB1
1407	CRY1	868	CBLB
1432	MAPK14	677	ZFP36L1
1491	CTH	1491	CTH
1635	DCTD	1635	DCTD
1649	DDIT3	1054	CEBPG
1731	1-Sep	1731	1-Sep
1856	DVL2	407	ARR3
1856	DVL2	1173	AP2M1
1856	DVL2	1454	CSNK1E
1856	DVL2	1856	DVL2
1857	DVL3	1453	CSNK1D
1912	PHC2	1911	PHC1
1912	PHC2	1912	PHC2
1937	EEF1G	1933	EEF1B2
1937	EEF1G	1936	EEF1D
1978	EIF4EBP1	1977	EIF4E
2059	EPS8	1527	CXorf2
2059	EPS8	2059	EPS8
2130	EWSR1	86	ACTL6A
2130	EWSR1	183	AGT
2130	EWSR1	572	BAD
2130	EWSR1	665	BNIP3L
2130	EWSR1	1048	CEACAM5
2130	EWSR1	1071	CETP
2130	EWSR1	1525	CXADR
2130	EWSR1	1676	DFFA
2130	EWSR1	1995	ELAVL3
2130	EWSR1	1996	ELAVL4
2189	FANCG	2175	FANCA
2194	FASN	2130	EWSR1
2203	FBP1	2203	FBP1
2272	FHIT	2272	FHIT
2275	FHL3	1912	PHC2
2512	FTL	2495	FTH1
2512	FTL	2512	FTL
2553	GABPB2	2189	FANCG
2582	GALE	2582	GALE
2669	GEM	373	TRIM23
2752	GLUL	2752	GLUL
2762	GMDS	2762	GMDS
2810	SFN	572	BAD
2874	GPS2	468	ATF4
2941	GSTA4	2941	GSTA4
2947	GSTM3	2947	GSTM3
2954	GSTZ1	2954	GSTZ1
2997	GYS1	2992	GYG
3104	HKR3	1857	DVL3
3159	HMGA1	2130	EWSR1
3183	HNRPC	3183	HNRPC
3190	HNRPK	3190	HNRPK
3198	HOXA1	2896	GRN
3437	IFIT3	3433	IFIT2
3437	IFIT3	3434	IFIT1
3437	IFIT3	3437	IFIT3
3608	ILF2	1937	EEF1G
3612	IMPA1	3612	IMPA1
3728	JUP	329	BIRC2
3779	KCNMB1	2130	EWSR1
3792	KEL	2130	EWSR1
3839	KPNA3	3183	HNRPC
3845	KRAS	3183	HNRPC
3866	KRT15	3216	HOXB6
3866	KRT15	3853	KRT6A
3866	KRT15	3854	KRT6B
3872	KRT17	3853	KRT6A
3875	KRT18	3866	KRT15
3880	KRT19	2189	FANCG
3880	KRT19	3854	KRT6B
3880	KRT19	3866	KRT15
3887	KRTHB1	3866	KRT15
3927	LASP1	2275	FHL3
3983	ABLIM1	2801	GOLGA2
3983	ABLIM1	3866	KRT15
4089	SMAD4	2130	EWSR1
4093	SMAD9	4089	SMAD4
4110	MAGEA11	87	ACTN1
4110	MAGEA11	329	BIRC2
4110	MAGEA11	1030	CDKN2B
4110	MAGEA11	2130	EWSR1
4110	MAGEA11	3589	IL11
4110	MAGEA11	3609	ILF3
4140	MARK3	2810	SFN
4145	MATK	2130	EWSR1
4175	MCM6	4171	MCM2
4175	MCM6	4175	MCM6
4188	MDFI	358	AQP1
4188	MDFI	362	AQP5
4188	MDFI	1406	CRX
4188	MDFI	1407	CRY1
4188	MDFI	1848	DUSP6
4188	MDFI	2130	EWSR1
4188	MDFI	2771	GNAI2
4188	MDFI	3198	HOXA1
4188	MDFI	3219	HOXB9
4188	MDFI	3609	ILF3
4188	MDFI	3927	LASP1
4188	MDFI	4034	LRCH4
4188	MDFI	4174	MCM5
4188	MDFI	4188	MDFI
4201	MEA	163	AP2B1
4291	MLF1	4110	MAGEA11
4292	MLH1	163	AP2B1
4300	MLLT3	4175	MCM6
4302	MLLT6	1054	CEBPG
4515	MTCP1	2130	EWSR1
4542	MYO1F	2130	EWSR1
4591	TRIM37	705	BYSL
4591	TRIM37	1315	COPB
4591	TRIM37	2130	EWSR1
4598	MVK	2130	EWSR1
4598	MVK	4598	MVK
4601	MXI1	4149	MAX
4637	MYL6	2130	EWSR1
4707	NDUFB1	2130	EWSR1
4707	NDUFB1	4698	NDUFA5
4715	NDUFB9	4110	MAGEA11
4723	NDUFV1	2130	EWSR1
4794	NFKBIE	3728	JUP
4830	NME1	4830	NME1
4832	NME3	4830	NME1
4833	NME4	4830	NME1
4841	NONO	4841	NONO
4849	CNOT3	4848	CNOT2
4879	NPPB	2130	EWSR1
5013	OTX1	4188	MDFI
5050	PAFAH1B3	5049	PAFAH1B2
5050	PAFAH1B3	5050	PAFAH1B3
5052	PRDX1	3661	IRF3
5092	PCBD1	1856	DVL2
5092	PCBD1	5092	PCBD1
5108	PCM1	2059	EPS8
5108	PCM1	3866	KRT15
5108	PCM1	3880	KRT19
5111	PCNA	1026	CDKN1A
5147	PDE6D	402	ARL2
5152	PDE9A	5152	PDE9A
5174	PDZK1	2670	GFAP
5257	PHKB	3183	HNRPC
5264	PHYH	4110	MAGEA11
5300	PIN1	3183	HNRPC
5300	PIN1	4188	MDFI
5300	PIN1	4841	NONO
5307	PITX1	1857	DVL3
5359	PLSCR1	293	SLC25A6
5359	PLSCR1	311	ANXA11
5359	PLSCR1	1271	CNTFR
5359	PLSCR1	1398	CRK
5359	PLSCR1	1407	CRY1
5359	PLSCR1	2130	EWSR1
5359	PLSCR1	2771	GNAI2
5359	PLSCR1	3198	HOXA1
5359	PLSCR1	3205	HOXA9
5359	PLSCR1	3216	HOXB6
5359	PLSCR1	3609	ILF3
5359	PLSCR1	3927	LASP1
5359	PLSCR1	4184	MCSP
5359	PLSCR1	4967	OGDH
5630	PRPH	3866	KRT15
5631	PRPS1	5631	PRPS1
5635	PRPSAP1	5631	PRPS1
5635	PRPSAP1	5635	PRPSAP1
5682	PSMA1	902	CCNH
5682	PSMA1	3866	KRT15
5682	PSMA1	4175	MCM6
5705	PSMC5	3866	KRT15
5705	PSMC5	5704	PSMC4
5706	PSMC6	1398	CRK
5708	PSMD2	5700	PSMC1
5711	PSMD5	5701	PSMC2
5715	PSMD9	5706	PSMC6
5716	PSMD10	5704	PSMC4
5721	PSME2	5720	PSME1
5721	PSME2	5721	PSME2
5725	PTBP1	5725	PTBP1
5805	PTS	5805	PTS
5819	PVRL2	4188	MDFI
5830	PEX5	5174	PDZK1
5859	QARS	435	ASL
5862	RAB2	2801	GOLGA2
5866	RAB3IL1	5866	RAB3IL1
5870	RAB6A	5372	PMM1
5886	RAD23A	2130	EWSR1
5886	RAD23A	5147	PDE6D
5932	RBBP8	3987	LIMS1
5932	RBBP8	5300	PIN1
5933	RBL1	5932	RBBP8
5985	RFC5	5984	RFC4
5987	RFP	4110	MAGEA11
5990	RFX2	4188	MDFI
6095	RORA	5705	PSMC5
6120	RPE	6120	RPE
6133	RPL9	1725	DHPS
6160	RPL31	2130	EWSR1
6210	RPS15A	2001	ELF5
6210	RPS15A	2130	EWSR1
6257	RXRB	5914	RARA
6258	RXRG	5914	RARA
6271	S100A1	6271	S100A1
6273	S100A2	6273	S100A2
6275	S100A4	6271	S100A1
6285	S100B	6271	S100A1
6286	S100P	6271	S100A1
6297	SALL2	2130	EWSR1
6303	SAT	3216	HOXB6
6303	SAT	3219	HOXB9
6303	SAT	6303	SAT
6431	SFRS6	6429	SFRS4
6449	SGTA	2202	EFEMP1
6449	SGTA	2882	GPX7
6449	SGTA	3537	IGLC1
6449	SGTA	4832	NME3
6449	SGTA	5552	PRG1
6455	SH3GL1	6455	SH3GL1
6495	SIX1	4188	MDFI
6505	SLC1A1	2130	EWSR1
6548	SLC9A1	4188	MDFI
6602	SMARCD1	3866	KRT15
6606	SMN1	6606	SMN1
6626	SNRPA	5725	PTBP1
6626	SNRPA	6626	SNRPA
6652	SORD	6652	SORD
6687	SPG7	4188	MDFI
6687	SPG7	5359	PLSCR1
6696	SPP1	6449	SGTA
6717	SRI	6717	SRI
6759	SSX4	3091	HIF1A
6772	STAT1	4005	LMO2
6776	STAT5A	4111	MAGEA12
6820	SULT2B1	6783	SULT1E1
6860	SYT4	6449	SGTA
6880	TAF9	6208	RPS14
6890	TAP1	4188	MDFI
6919	TCEA2	4110	MAGEA11
6923	TCEB2	6921	TCEB1
6944	TCFL1	2130	EWSR1
6944	TCFL1	4188	MDFI
6990	TCTE1L	1781	DNCI2
6990	TCTE1L	6990	TCTE1L
7005	TEAD3	1488	CTBP2
7027	TFDP1	1876	E2F6
7029	TFDP2	1876	E2F6
7050	TGIF	1488	CTBP2
7138	TNNT1	5705	PSMC5
7138	TNNT1	7138	TNNT1
7157	TP53	1856	DVL2
7186	TRAF2	329	BIRC2
7186	TRAF2	1027	CDKN1B
7186	TRAF2	1407	CRY1
7186	TRAF2	1838	DTNB
7186	TRAF2	1856	DVL2
7186	TRAF2	3662	IRF4
7186	TRAF2	3705	ITPK1
7186	TRAF2	3983	ABLIM1
7186	TRAF2	5300	PIN1
7186	TRAF2	5859	QARS
7186	TRAF2	5886	RAD23A
7186	TRAF2	5991	RFX3
7186	TRAF2	6919	TCEA2
7186	TRAF2	7186	TRAF2
7189	TRAF6	7186	TRAF2
7205	TRIP6	358	AQP1
7205	TRIP6	2275	FHL3
7205	TRIP6	3198	HOXA1
7205	TRIP6	3205	HOXA9
7205	TRIP6	3609	ILF3
