DB Entrez Gene IDA	DB CCSB ORF ID	DB Accession	AD Entrez Gene ID	AD CCSB ORF ID	AD Accession	Trial
5090	1078	BC016977.1	57085	7845	BC017328.2	1
578	3801	BC004431.1	598	5989	BC019307.1	1
83878	8352	BC027910.1	29946	7081	BC014061.2	1
63898	6155	BC014525.2	6455	1845	BC001270.1	1
57325	5281	BC007537.1	51562	5480	BC005197.1	1
79873	2532	BC016902.1	115704	7367	BC014111.2	1
79817	1968	BC033027.1	22978	3744	BC001595.1	1
8576	7944	BC002618.2	54507	9414	BC027478.1	1
414157	9426	BC037252.1	4188	5143	BC007836.2	1
23208	1286	BC039205.1	10513	820	BC018121.1	1
60491	4562	BC007654.2	222389	9342	BC031618.1	1
9513	989	BC020090.1	22978	3744	BC001595.1	1
115761	877	BC013150.1	9319	4664	BC000404.2	1
9513	989	BC020090.1	10567	4757	BC008950.2	1
81932	5055	BC005048.2	9319	4664	BC000404.2	1
79666	6953	BC011806.2	51562	5480	BC005197.1	1
56341	1137	BC022458.1	56341	1137	BC022458.1	1
22980	6828	BC009349.2	6303	5768	BC008424.1	1
79873	2532	BC016902.1	5866	2590	BC022239.1	1
358	1231	BC022486.1	4188	5143	BC007836.2	1
25788	9795	BC033710.2	25788	9795	BC033710.2	1
130617	642	BC018415.1	9802	3598	BC002334.2	1
3927	5231	BC007560.1	9319	4664	BC000404.2	1
54472	381	BC018272.1	9802	3598	BC002334.2	1
79797	252	BC015708.2	80321	1596	BC030598.2	1
22822	6472	BC018929.2	4188	5143	BC007836.2	1
117177	472	BC015548.1	5866	2590	BC022239.1	1
8667	3189	BC000386.2	51225	4982	BC007780.2	1
79873	2532	BC016902.1	22978	3744	BC001595.1	1
221458	1699	BC022074.2	10513	820	BC018121.1	1
5515	4071	BC002657.2	9319	4664	BC000404.2	1
27258	5664	BC007055.1	84967	5292	BC007623.1	1
3219	6243	BC015565.1	4188	5143	BC007836.2	1
8907	206	BC017469.2	4520	7709	BC014454.1	1
8061	857	BC016648.1	23641	3434	BC003104.1	1
9726	9991	BC035589.1	4188	5143	BC007836.2	1
55093	4786	BC008781.2	9319	4664	BC000404.2	1
27229	5836	BC012801.2	85302	7228	BC012332.1	1
79873	2532	BC016902.1	10567	4757	BC008950.2	1
3219	6243	BC015565.1	6303	5768	BC008424.1	1
286514	2123	BC029525.1	2553	2126	BC036080.1	1
56000	9232	BC031616.1	29107	936	BC003410.1	1
7965	343	BC013630.1	79173	2678	BC012945.1	1
79594	6868	BC010101.2	10513	820	BC018121.1	1
55093	4786	BC008781.2	3728	7110	BC011865.2	1
157773	2211	BC031245.1	4188	5143	BC007836.2	1
9513	989	BC020090.1	64769	7537	BC016328.1	1
9139	9071	BC015066.1	4188	5143	BC007836.2	1
4292	2713	BC006850.1	9877	6160	BC014268.2	1
57326	128	BC016852.1	51019	6319	BC010889.1	1
8907	206	BC017469.2	23641	3434	BC003104.1	1
84528	2032	BC021719.2	9802	3598	BC002334.2	1
4800	2092	BC039244.1	10513	820	BC018121.1	1
9587	4424	BC002904.2	9319	4664	BC000404.2	1
23564	7456	BC001435.2	9319	4664	BC000404.2	1
79797	252	BC015708.2	23641	3434	BC003104.1	1
79666	6953	BC011806.2	26511	2645	BC034691.1	1
26207	5180	BC007905.2	57085	7845	BC017328.2	1
22943	5937	BC001539.2	4188	5143	BC007836.2	1
8204	2561	BC040361.1	80321	1596	BC030598.2	1
125170	7599	BC014973.1	10567	4757	BC008950.2	1
23136	9011	BC008377.1	51562	5480	BC005197.1	1
1312	4708	BC000419.2	9319	4664	BC000404.2	1
79666	6953	BC011806.2	51562	7531	BC016821.1	1
51562	7531	BC016821.1	51562	7531	BC016821.1	1
7695	5106	BC006421.1	4188	5143	BC007836.2	1
79873	2532	BC016902.1	1854	10082	BC033645.1	1
132158	814	BC021896.1	9319	4664	BC000404.2	1
10567	4757	BC008950.2	10567	4757	BC008950.2	1
79873	2532	BC016902.1	51074	5696	BC008440.1	1
55367	188	BC014904.1	4188	5143	BC007836.2	1
362	2030	BC032946.1	4188	5143	BC007836.2	1
6231	7735	BC002604.1	90121	7020	BC011825.1	1
4034	834	BC018529.1	4188	5143	BC007836.2	1
7376	5125	BC007790.1	4188	5143	BC007836.2	1
54472	3374	BC004420.1	9802	3598	BC002334.2	1
5682	442	BC015356.1	25788	9795	BC033710.2	1
84171	8976	BC007522.1	9319	4664	BC000404.2	1
23199	9694	BC037556.1	55758	9304	BC031608.1	1
9513	989	BC020090.1	23641	3434	BC003104.1	1
84733	4279	BC004252.1	4188	5143	BC007836.2	1
79797	252	BC015708.2	4188	5143	BC007836.2	1
50717	8628	BC013107.1	4188	5143	BC007836.2	1
9841	10083	BC036731.1	4188	5143	BC007836.2	1
55093	4786	BC008781.2	51171	4841	BC006294.1	1
9363	3623	BC009996.2	10567	4757	BC008950.2	1
79873	2532	BC016902.1	10606	2375	BC010273.1	1
55049	7266	BC012078.1	4188	5143	BC007836.2	1
60491	4562	BC007654.2	10567	4757	BC008950.2	1
55093	4786	BC008781.2	4830	3125	BC000293.2	1
79873	2532	BC016902.1	1725	7029	BC014016.2	1
3603	8787	BC040272.1	63948	2266	BC029566.1	1
27229	5836	BC012801.2	113675	6677	BC009849.2	1
3927	5231	BC007560.1	4188	5143	BC007836.2	1
