Entrez Gene IDA	Symbol A	Entrez Gene IDB	Symbol B
23582	CCNDBP1	57474	ZNF490
23582	CCNDBP1	126070	ZNF440
5699	PSMB10	23582	CCNDBP1
23582	CCNDBP1	29088	MRPL15
7695	ZNF136	23582	CCNDBP1
9063	PIAS2	23582	CCNDBP1
23582	CCNDBP1	147687	ZNF417
22806	IKZF3	150483	TEKT4
22806	IKZF3	256302	C17orf103
7329	UBE2I	22806	IKZF3
9747	FAM115A	22806	IKZF3
1032	CDKN2D	22806	IKZF3
22806	IKZF3	55758	RCOR3
5984	RFC4	10193	RNF41
10024	TROAP	22924	MAPRE3
10488	CREB3	84102	SLC41A2
11201	POLI	56658	TRIM39
5601	MAPK9	222484	LNX2
3198	HOXA1	3198	HOXA1
3198	HOXA1	10252	SPRY1
8428	STK24	11235	PDCD10
4103	MAGEA4	23558	WBP2
4103	MAGEA4	140691	TRIM69
60491	NIF3L1	117178	SSX2IP
7205	TRIP6	23387	SIK3
3801	KIFC3	84619	ZGPAT
1856	DVL2	84619	ZGPAT
1856	DVL2	51720	UIMC1
1937	EEF1G	23276	KLHL18
9871	SEC24D	10483	SEC23B
4188	MDFI	57474	ZNF490
23281	MTUS2	57474	ZNF490
9295	SRSF11	222484	LNX2
23089	PEG10	222484	LNX2
51447	IP6K2	222484	LNX2
203068	TUBB	222484	LNX2
29116	MYLIP	222484	LNX2
7448	VTN	222484	LNX2
10133	OPTN	222484	LNX2
51068	NMD3	222484	LNX2
3603	IL16	222484	LNX2
7186	TRAF2	222484	LNX2
85007	AGXT2L2	222484	LNX2
7185	TRAF1	126070	ZNF440
4188	MDFI	126070	ZNF440
5585	PKN1	9454	HOMER3
2274	FHL2	7597	ZBTB25
7597	ZBTB25	22929	SEPHS1
5987	TRIM27	8697	CDC23
8697	CDC23	10133	OPTN
11267	SNF8	84313	VPS25
9702	CEP57	79571	GCC1
9107	MTMR6	66036	MTMR9
9240	PNMA1	60491	NIF3L1
9240	PNMA1	81926	FAM108A1
539	ATP5O	9240	PNMA1
9240	PNMA1	10586	MAB21L2
1856	DVL2	5562	PRKAA1
6642	SNX1	254122	SNX32
10488	CREB3	340481	ZDHHC21
2801	GOLGA2	8796	SCEL
2801	GOLGA2	84991	RBM17
6015	RING1	10138	YAF2
10197	PSME3	85403	EAF1
85403	EAF1	246329	STAC3
9454	HOMER3	85403	EAF1
80125	CCDC33	85403	EAF1
80153	EDC3	196513	DCP1B
27033	ZBTB32	154313	C6orf165
2571	GAD1	116173	CMTM5
54955	C1orf109	57541	ZNF398
